ROL DE PROCEDIMENTOS,Unnamed: 0,Rol de Procedimentos e Eventos em Saúde,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
E EVENTOS EM SAÚDE,,,,,,,,,,,,,,
ANEXO I,,,,,,,,,,,,,,
(RN 465/2021,,,,,,,,,,,,,,
e suas alterações),,,,,,,,,,,,,,
E EVENTOS EM SAÚDE,,,,,,,,,,,,,,
"(RN 465/2021, vigente a partir de 01/04/2021",,,,,,,,,,,,,,
e suas alterações:),,,,,,,,,,,,,,
"RN no 604/2024, vigente a partir de 07/05/2024","RN no 473/2021, vigente a partir de 08/11/2021",,,,,,,,,,,,,
"RN no 606/2024, vigente a partir de 21/06/2024","RN no 478/2022, vigente a partir de 20/01/2022",,,,,,,,,,,,,
"RN no 607/2024, vigente a partir de 01/07/2024","RN no 480/2022, vigente a partir de 14/02/2022",,,,,,,,,,,,,
"RN no 610/2024, vigente a partir de 01/08/2024","RN no 536/2022, vigente a partir de 06/05/2022",,,,,,,,,,,,,
"RN no 619/2024, vigente a partir de 02/01/2025","RN no 538/2022, vigente a partir de 22/10/2022",,,,,,,,,,,,,
"RN no 624/2024, vigente a partir de 03/02/2025","RN no 541/2022, vigente a partir de 01/08/2022",,,,,,,,,,,,,
"RN no 625/2024, vigente a partir de 23/12/2024","RN no 542/2022, vigente a partir de 01/09/2022",,,,,,,,,,,,,
"RN no 627/2024, vigente a partir de 17/02/2025","RN no 544/2022, vigente a partir de 21/09/2022",,,,,,,,,,,,,
,"RN no 546/2022, vigente a partir de 03/10/2022",,,,,,,,,,,,,
,"RN no 571/2023, vigente a partir de 10/02/2023",,,,,,,,,,,,,
,"RN no 577/2023, vigente a partir de 09/05/2023",,,,,,,,,,,,,
,"RN no 581/2023, vigente a partir de 12/07/2023",,,,,,,,,,,,,
,"RN no 582/2023, vigente a partir de 01/08/2023",,,,,,,,,,,,,
,"RN no 584/2023, vigente a partir de 01/09/2023",,,,,,,,,,,,,
,"RN no 592/2023, vigente a partir de 18/12/2023",,,,,,,,,,,,,
,"RN no 599/2024, vigente a partir de 05/03/2024",,,,,,,,,,,,,
,"RN no 600/2024, vigente a partir de 01/04/2024",,,,,,,,,,,,,
,"RN no 603/2024, vigente a partir de 02/05/2024",,,,,,,,,,,,,
,,"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,,
,,RN,,,,,,,,,,,,
,VIGÊNCIA,PROCEDIMENTO,Odontológico,AMB HCO,HSO,REF,PAC,DUT,,SUBGRUPO,GRUPO,CAPÍTULO,,
,,(alteração),,,,,,,,,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ACONSELHAMENTO GENÉTICO,,AMB HCO,HSO,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,HCO,HSO,REF,,109,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,HCO,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,,HCO,HSO,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE),,AMB HCO,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,ESPECIAIS,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),Odontológico,,,,,,86.0,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,AMB HCO,,REF,,135,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
